company_id,region,sector,num_employees,annual_revenue,avg_employee_salary,expenses_total,customer_growth_rate,customer_retention_rate,digital_spending_ratio,years_in_operation,profit_to_expense_ratio,tech_adoption_level,remote_work_policy,has_pitch_deck,cash_flow_score,credit_score,registered_business,prior_investment,traction_score,female_owned,bookkeeping_quality,tax_compliance_status,regulatory_license_status,data_protection_score,employee_contracts_verified,AML_risk_flag,financial_transparency_score,compliance_risk_level,funding_stage,revenue_growth_rate
1,Urban,Education,103,10683,7216.44,7760.69,0.386,0.002,0.083,11,0.56,High,Partial,0,0.581,0.63,1,None,0.368,0,0.737,Compliant,Expired,0.54,1,0,0.33,Moderate,Series B,0.3329
2,Urban,Education,436,46520,3896.85,41608.49,0.284,0.753,0.09,18,0.311,Low,None,0,0.558,0.516,1,Gov Grant,0.312,0,0.736,Compliant,Valid,0.018,1,1,0.443,High,Seed,0.4854
3,Urban,Education,349,209952,3319.39,106856.07,0.343,0.139,0.387,21,0.372,High,Partial,1,0.617,0.516,1,Angels,0.381,0,0.842,Compliant,Expired,0.474,1,0,0.383,Moderate,Series A,0.4855
4,Urban,Healthcare,271,62216,5873.81,28248.28,0.493,0.246,0.197,12,0.292,Low,None,1,0.568,0.465,1,Angels,0.446,0,0.431,Compliant,Valid,0.011,1,0,0.65,High,Seed,0.4631
5,Urban,Retail,107,115195,7304.03,89835.28,0.499,0.534,0.221,6,0.024,Medium,Full,0,0.248,0.516,1,Angels,0.46,0,0.761,Compliant,Valid,0.423,1,0,0.259,High,Series B,0.3532
6,Urban,Retail,72,27326,492.78,23297.24,0.489,0.444,0.485,19,0.296,High,None,0,0.526,0.222,1,Gov Grant,0.436,1,0.396,Compliant,Valid,0.412,0,0,0.494,High,Seed,0.4898
7,Rural,Tech,189,89311,3751.44,77501.37,-0.077,0.375,0.79,9,0.238,High,Partial,0,0.469,0.813,1,Gov Grant,0.095,1,0.673,Compliant,Valid,0.559,0,0,0.009,Moderate,Series B,0.3468
8,Urban,Education,21,50773,5003.02,38227.22,0.001,0.157,0.119,27,0.077,High,None,0,0.395,0.81,1,None,0.136,0,0.62,Compliant,Valid,0.206,0,0,0.542,Moderate,Series A,0.0289
9,Urban,Healthcare,103,11602,2752.94,9957.62,0.202,0.334,0.376,6,0.563,Low,Full,1,0.711,0.634,0,None,0.254,0,0.507,Compliant,Valid,0.064,0,0,0.619,Moderate,Seed,0.3704
10,Urban,Finance,122,53222,6247.54,41798.71,0.087,0.36,0.091,13,0.117,Low,None,0,0.465,0.621,1,None,0.19,0,0.282,Not Registered,Expired,0.0,1,0,0.376,High,Seed,0.2102
11,Urban,Education,467,11048,7780.37,4950.14,-0.095,0.333,0.252,25,0.262,High,None,0,0.458,0.407,1,None,0.068,0,0.727,Compliant,Valid,0.247,1,1,0.446,High,Seed,0.4539
12,Urban,Finance,215,16993,7564.39,13919.37,0.03,0.653,0.091,22,0.292,Medium,None,1,0.531,0.27,1,VC,0.147,0,0.443,Compliant,Missing,0.116,1,0,0.157,High,Series B,0.3147
13,Urban,Agriculture,331,45579,2348.07,22727.87,0.58,0.439,0.17,7,0.732,Low,None,1,0.761,0.875,1,VC,0.497,0,0.628,Compliant,Valid,0.186,1,1,0.64,Moderate,Debt Financing,0.5841
14,Urban,Agriculture,459,51880,2042.8,27503.41,0.078,0.784,0.174,13,0.5,Low,Partial,0,0.664,0.669,1,VC,0.184,0,0.619,Compliant,Valid,0.0,1,0,0.732,Moderate,Series A,0.5067
15,Urban,Tech,88,8716,7672.68,5378.28,0.135,0.191,0.191,6,0.273,Low,None,0,0.496,0.404,1,VC,0.211,0,0.63,Compliant,Missing,0.132,0,0,0.617,Moderate,Series A,0.1626
16,Urban,Education,373,128641,3831.44,73712.82,-0.195,0.774,0.145,16,0.054,Low,None,0,0.402,0.384,0,Gov Grant,0.029,0,0.319,Not Registered,Valid,0.201,0,0,0.303,High,Seed,0.3351
17,Urban,Finance,100,72143,1903.89,41619.91,0.376,0.193,0.095,6,0.218,Medium,None,0,0.316,0.494,1,Gov Grant,0.374,1,0.566,Compliant,Expired,0.474,1,0,0.355,High,Series A,0.3328
18,Urban,Finance,360,15589,5743.88,7686.82,0.131,0.66,0.143,15,0.393,High,None,1,0.516,0.192,1,Angels,0.21,0,0.581,Compliant,Valid,0.31,0,0,0.611,Moderate,Series A,0.3792
19,Urban,Healthcare,152,5738,2490.04,3222.63,-0.117,0.216,0.078,8,0.331,Medium,Partial,1,0.597,0.494,1,None,0.053,0,0.892,Compliant,Expired,0.074,0,1,0.6,High,Seed,0.1295
20,Rural,Healthcare,131,30519,2357.8,12537.65,0.575,0.452,0.047,27,0.417,High,None,0,0.547,0.834,1,None,0.49,1,0.399,Compliant,Valid,0.473,1,0,0.475,Moderate,Series B,0.4514
21,Rural,Healthcare,150,21266,7070.22,14037.71,0.422,0.463,0.212,18,0.188,Medium,None,1,0.506,0.785,0,Gov Grant,0.393,1,0.599,Late Filing,Valid,0.137,1,0,0.165,High,Series B,0.352
22,Rural,Tech,309,41596,1551.09,34222.07,0.381,0.395,0.464,8,0.128,Low,Partial,0,0.431,0.449,1,None,0.371,0,0.33,Compliant,Valid,0.314,0,0,0.355,High,Seed,0.5227
23,Urban,Education,258,23488,795.83,20534.06,0.566,0.448,0.429,22,0.569,Low,Partial,1,0.66,0.772,1,Gov Grant,0.483,0,0.653,Compliant,Valid,0.505,1,0,0.408,Moderate,Series A,0.5442
24,Urban,Finance,344,3265,2372.74,2779.28,0.126,0.349,0.288,2,0.266,Medium,Partial,0,0.515,0.687,0,None,0.204,0,0.938,Compliant,Valid,0.193,1,0,0.624,Moderate,Seed,0.4146
25,Urban,Healthcare,492,22788,4973.48,14334.83,0.375,0.123,0.267,24,0.324,Medium,None,0,0.374,0.315,1,None,0.364,0,0.563,Compliant,Valid,0.108,1,0,0.644,Moderate,Series A,0.6342
26,Rural,Agriculture,414,25166,1247.78,20176.45,-0.035,0.346,0.357,14,0.096,Low,Partial,0,0.285,0.746,1,Angels,0.108,0,0.825,Compliant,Valid,0.0,1,0,0.545,Moderate,Series A,0.4705
27,Urban,Retail,294,77683,3931.28,43373.52,0.358,0.34,0.084,20,0.463,Medium,Partial,1,0.661,0.613,1,None,0.364,0,0.547,Compliant,Valid,0.212,0,0,0.828,Moderate,Series A,0.4264
28,Urban,Finance,386,15712,5130.5,6764.95,-0.189,0.389,0.169,5,0.376,Low,Full,1,0.477,0.315,1,None,0.01,0,0.424,Compliant,Valid,0.369,1,0,0.421,Moderate,Seed,0.3164
29,Urban,Agriculture,192,272232,6835.27,210104.39,-0.099,0.378,0.406,12,0.155,Low,None,0,0.479,0.439,1,Angels,0.117,0,0.404,Late Filing,Valid,0.245,1,0,0.169,High,Seed,0.265
30,Urban,Education,444,3663,2070.0,2772.3,0.14,0.316,0.752,10,0.418,High,None,0,0.583,0.65,1,Gov Grant,0.213,0,0.28,Compliant,Missing,0.696,0,0,0.313,Moderate,Debt Financing,0.6461
31,Urban,Healthcare,277,175151,6593.57,147283.8,-0.19,0.581,0.138,22,0.33,Medium,None,0,0.52,0.494,1,None,0.041,0,0.333,Not Registered,Missing,0.41,1,0,0.168,High,Series A,0.2994
32,Urban,Agriculture,161,27745,2108.78,20499.63,0.17,0.227,0.62,13,0.417,Medium,Full,0,0.6,0.509,1,None,0.237,0,0.63,Compliant,Valid,0.397,0,1,0.238,High,Seed,0.3758
33,Urban,Healthcare,460,101875,5511.1,49540.83,0.218,0.098,0.11,17,0.256,Low,None,1,0.479,0.438,1,None,0.282,0,0.677,Compliant,Valid,0.055,1,0,0.38,Moderate,Series A,0.5259
34,Rural,Agriculture,314,39965,3616.19,34739.15,0.297,0.207,0.077,9,0.154,Low,None,0,0.406,0.601,1,None,0.319,1,0.399,Compliant,Valid,0.095,1,0,0.491,High,Series A,0.4174
35,Urban,Tech,22,142553,1183.05,106200.42,-0.12,0.326,0.214,25,0.673,Medium,Partial,0,0.782,0.478,1,Angels,0.078,0,0.345,Compliant,Missing,0.246,1,0,0.572,Moderate,Series A,0.1256
36,Urban,Education,253,22815,5799.83,19260.09,-0.055,0.306,0.254,5,0.158,Low,Partial,1,0.43,0.242,1,None,0.095,0,0.546,Compliant,Missing,0.0,0,0,0.689,Moderate,Series A,0.3411
37,Rural,Education,236,9717,1976.77,8023.9,0.291,0.016,0.135,22,0.18,High,Full,1,0.44,0.392,1,None,0.309,1,0.381,Compliant,Valid,0.34,1,1,0.245,High,Seed,0.3909
38,Urban,Healthcare,345,199707,1660.0,112599.89,0.327,0.301,0.321,7,0.306,High,Full,1,0.485,0.392,1,VC,0.369,0,0.823,Compliant,Valid,0.363,1,0,0.529,Moderate,Series A,0.486
39,Rural,Tech,49,31692,3059.09,13976.3,-0.179,0.236,0.28,15,0.146,Low,Partial,0,0.417,0.425,1,Gov Grant,0.019,1,0.817,Compliant,Expired,0.147,1,0,0.451,Moderate,Seed,0.0263
